id	PD_meta_logFC	PD_meta_se	PD_meta_p	PD_I2	PD_tau2	PD_meta_FDR
DUSP15	0.04207224057315	0.0499556139892897	0.399680243264963	46.5160611089806	0.0023223343176002	0.480390223232715
DUTP1	-0.111404442112344	0.0298853801494032	0.000193216979058923	0	0	0.000478363403994884
DUX3	-0.0199948770816834	0.0312754596903143	0.522617895658466	0	0	0.601915446194863
DUX4	0.170189131570125	0.0531333310644943	0.0013597667749255	0	0	0.00296521286677605
DYX1C1-CCPG1	0.586961395250904	0.0536338433730878	7.11047994545474e-28	0	0	1.13376276561471e-26
EEF1DP5	-0.0858864654365399	0.0314033762358114	0.00623909496086661	0	0	0.01183793345195
EEF1E1-BLOC1S5	-0.253281126655656	0.032573633774775	7.50618650903249e-15	0	0	5.07616815280096e-14
EIF3CL	-0.344065678875096	0.0538379866449589	1.65062733551838e-10	0	0	7.56936757026634e-10
EIF3LP3	-0.189220562538181	0.0325568662621234	6.17302082078256e-09	0	0	2.53035617606606e-08
ELL2P3	0.152656167720621	0.0189219094975452	7.16385677472107e-16	0	0	5.16630003089843e-15
EPN2-IT1	-0.19661647509915	0.021003883223112	7.90167218490865e-21	0	0	8.27295557672966e-20
EPPIN-WFDC6	-0.0278284082547617	0.0211107343496944	0.187432928830889	0	0	0.250969514875258
EPR-1	-0.157699524284415	0.0588455571150745	0.00736467150729013	0	0	0.0136896246841393
EPS15P1	-0.034379912624724	0.0128135371588963	0.00729446893688204	0	0	0.0135736477647762
ERCC6-PGBD3	-0.235176961810506	0.0324190466657612	4.03792981438371e-13	0	0	2.29343856777741e-12
ESPNP	0.00578004760632255	0.0268391257625622	0.829487423916265	0	0	0.869510942561199
EXOSC7	0.436855350109445	0.0581371934279902	5.72535840572037e-14	0	0	3.51613883715265e-13
F8A2	0.112658628715582	0.0370203230605236	0.00234110715243416	0	0	0.0049081353810984
FABP3P2	0.0306169672039639	0.0168149905398575	0.0686351623902221	0	0	0.10445526465342
FAHD2B	-0.048231963196624	0.025987342012838	0.0634565395545557	0	0	0.0975132323128363
FAM115D	-0.204631544921873	0.0272153119899935	5.52027717576109e-14	0	0	3.40221337995488e-13
FAM133DP	-0.29963354880892	0.0500753409879566	2.18185627710042e-09	0	0	9.29427992549148e-09
FAM138B	-0.0130614596817775	0.0198383989077743	0.510285738789593	0	0	0.59007093414259
FAM153B	0.00878715733614835	0.0104205326870788	0.399086324775218	0	0	0.480008326961473
FAM156B	0.0502465724114356	0.0253210929783194	0.0472139253434893	0	0	0.0748020075177616
FAM182B	-0.0741473472981518	0.0174174271659007	2.07116041541996e-05	0	0	5.81530985783503e-05
FAM187A	0.0395846547946525	0.0227994721501096	0.0825268395690772	0	0	0.123117293709061
FAM205B	0.172703366365042	0.0413506516170432	2.95954200679207e-05	21.2696201185173	0.000727663457595057	8.166016427877e-05
FAM205CP	0.0841848721510876	0.053022618391948	0.112350519737254	24.5113992063661	0.00138362585160425	0.161060424738534
FAM209B	-0.0793603764166679	0.0190362434357751	3.06060454065642e-05	0	0	8.41666248680516e-05
FAM21C	-0.19056771397439	0.0223099577798494	1.32120519713328e-17	0	0	1.07805381813035e-16
FAM21FP	-0.157716948387455	0.0267455255502822	3.70288586287313e-09	0	0	1.54331310064113e-08
FAM223B	-0.110631631539179	0.0203278571496515	5.25776113951541e-08	0	0	1.98651931749517e-07
FAM224B	-0.223866747295572	0.0450492596701235	6.71684207353038e-07	0	0	2.2320978056971e-06
FAM225B	0.0705020831292767	0.0251264800233461	0.0050178164996981	0	0	0.00970073979585684
FAM226B	0.0163409049211714	0.0262083390299	0.532955863488435	25.7644693263713	0.00035478072795659	0.611551650922581
FAM230C	-0.0192210100916297	0.0188152460884996	0.306986497401403	0	0	0.385507610176039
FAM27B	-0.100594159166087	0.0198988929075979	4.29795561832493e-07	8.59383791078748	6.82705164307389e-05	1.46755341152234e-06
FAM27C	0.0116838449387593	0.0314579640416985	0.710331172045748	0	0	0.773531063292926
FAM27E3	0.00605271770633533	0.0222916591629989	0.785988138536667	0	0	0.833038745558805
FAM41AY2	0.171404382451984	0.0442141227596962	0.000105887769223256	0	0	0.000274429856101701
FAM45B	-0.207847755316083	0.0370012964572824	1.9395318084278e-08	0	0	7.64377841960889e-08
FAM47E-STBD1	0.361657852935826	0.0427596393357031	2.72175407666658e-17	0	0	2.1501857205666e-16
FAM66C	0.0301775269258248	0.0222585829027567	0.175172245143448	0	0	0.237110095061771
FAM71A	-0.0121825462785458	0.0401085179099283	0.761326265241271	0	0	0.814267722454971
FAM72B	-0.297234031630871	0.0637974138079291	3.17703707341578e-06	0	0	9.82507194590145e-06
FAM86B2	0.0349442603680633	0.0449426417554258	0.436846035344166	0	0	0.518251474012396
FAM87B	0.00545789113120209	0.0190970083877384	0.775032666446463	0	0	0.825877850572626
FAM90A1	0.0318078697213081	0.0243949407952991	0.192277375596225	0	0	0.256271532811533
FAR1P1	-0.045509687674852	0.0226516264818966	0.0445251024307262	0	0	0.0706708931731527
FAR2P3	0.140806039019812	0.0385720057961855	0.000261758530954342	48.0866804533959	0.00143087022900111	0.000636274582935169
FBLL1	0.0191588352453275	0.0389776527529406	0.623048925471645	0	0	0.696820484214748
FBXW10	-0.125003403935713	0.0530657484321504	0.0184911990079864	49.2510949925219	0.00277387887629381	0.031756624383281
FCGR1B	0.323519372807322	0.0404566083347609	1.27797777765715e-15	0	0	8.95615071600049e-15
FCGR2C	0.254241185005989	0.0326165566811399	6.44847504475951e-15	0	0	4.39507828540864e-14
FCGR3B	1.12418127633212	0.105221424208805	1.2100018826838e-26	0	0	1.82868110617778e-25
FDPSP5	-0.14760899843384	0.0229286244076576	1.21248910219528e-10	0	0	5.63450818078981e-10
FLJ00290	0.067645908789457	0.0332077547857938	0.0416448750919984	0	0	0.0667085648939108
FLJ30064	-0.0524007128162571	0.0187401549676528	0.00517117329413863	0	0	0.00998611020579216
FLJ32742	0.00555179537457631	0.0336323647912431	0.868886523824473	0	0	0.900325287171621
FLJ32955	-0.0453640140970047	0.0163280613262929	0.00546465998692839	0	0	0.0105061715235415
FLJ41757	-0.00856544851020369	0.0273461313171653	0.754110933793805	0	0	0.808590987854341
FLNB-AS1	-0.00687754253476856	0.0162425803656874	0.671983953044331	0	0	0.741058445679598
FNTB	-0.359219079119855	0.0294683843682682	3.51498414784605e-34	0	0	8.60428513937526e-33
FOLH1B	-0.0954199913126869	0.0213640772336357	7.95559212159114e-06	0	0	2.33956330073188e-05
FOXD4L1	0.103043134852673	0.0387267698483428	0.00779615499092268	0	0	0.0143687352854969
FOXO3B	0.0661536272729044	0.0466879623318312	0.156503063658683	0	0	0.214343833442703
FOXP1-AS1	0.0849287935660561	0.020885320670791	4.77378449107918e-05	0	0	0.000128235509203951
FRG1B	-0.0897708996628739	0.0629202328752073	0.153654454463439	0	0	0.211442155073204
