ID	GSM172405	GSM172406	GSM172407	GSM172408	GSM172409	GSM172410	GSM172411	GSM172412	GSM172413	GSM172414	GSM172415	GSM172416	GSM172417	GSM172418	GSM172419	GSM172420	GSM172421	GSM172422	GSM172423	GSM172424	GSM172425	GSM172426	GSM172427	GSM172428	GSM172429	GSM172430
AACS	6.25578846242414	5.37560387526932	4.50726963070561	5.09290056763668	5.54858404099975	5.0998069898864	3.79134373564678	5.04845773543273	5.30681158529854	5.61994114409031	5.03172518078468	5.38906426820977	4.9420431756731	6.01318228721763	5.09101847415229	5.19095768203325	4.65544266638016	4.91630981546973	5.30903138832083	5.05616901956913	5.52962772201373	4.95812401502276	5.7984762904439	5.33751008831058	5.48212732640381	5.55134974170325
AACSP1	3.21348787727089	2.71140767036155	0.906133224499182	4.505823483957	3.36730711329063	3.14271814375235	2.30439962286018	3.52551006745668	3.42760114323205	1.63340085183266	2.33129586365859	1.25898549281969	3.94902118047184	3.95985723488443	2.70065731205869	3.48816903431369	4.2677083310973	3.31693224747618	3.42537966068738	1.91985233721601	2.58926250454586	1.48156602309795	3.86960956142316	1.50713011367028	1.53229168913408	3.17119863812309
AADAC	5.4436514900186	1.97819978068393	2.86108781025063	1.78044514688112	3.79557974742731	2.31499925254884	2.37520933588691	2.3127229414184	2.26006559817524	3.75185265449575	1.60671009992861	2.11654772898688	3.70213954681298	2.01206009648332	2.12036705396183	2.18887916158133	2.47300724015554	3.96073614927	2.1172228434513	2.30523505025148	2.05078806427821	3.01104428646084	2.95971663786365	4.40530834955664	2.71671044654337	4.04957661361874
AADACL2	3.46792476120883	2.44009796967653	3.68528515973124	3.73136535209342	3.07724038779548	1.92895523882867	-0.798564094731815	2.19303120023692	3.06535742873047	3.20950895687303	0.400063347266235	1.1822132460237	3.74108585193057	3.13006469696482	1.36283920625964	2.57316978213913	3.60289057859934	3.53628572927822	3.37182380343465	2.52223714815757	1.81319401204937	2.0795520632608	4.37342475125025	2.90253820644606	3.9619198697103	2.08019419448586
AADACP1	0.725358258815972	2.83685042384762	-0.448894348078201	-0.839942427364239	0.804516643411711	0.319998270054081	-0.00333684788040352	0.902198978536	1.04683465465446	-0.133357713078122	0.0351770936329665	2.70664620754283	0.620844450283673	-0.645043552433922	0.115361796110567	0.0762342605811711	0.5191579350427	0.89513088202085	1.24613814453505	0.0788957040299877	-0.32108997556775	-0.662264324982737	0.290271621160384	0.139065238120612	0.725012231726384	-0.282352178618877
AADAT	1.45611389732601	0.982372338288205	1.05238931721926	0.52702055922675	3.43205407243167	0.794494582672054	0.418871453405596	1.29153816382723	0.931462584432088	2.04533791927478	1.41857298326914	2.02704253451861	1.70316097910881	1.35317523220796	1.75980637656169	0.738892872780471	0.885441684618987	0.635101328843947	1.79467009846164	1.22319512900259	1.98505418926699	0.820634541265499	1.4622308871617	0.917568440520001	1.53229168913408	1.64721355901924
AAED1	4.6622267086989	5.20127479100592	6.23526143090638	4.8812182986467	4.99384576322912	5.62971424917735	4.67297751037192	5.46554575220314	5.15358166485551	6.19692432639289	6.0155988138817	6.1234902428	5.47154075099378	4.03878418663636	5.7374865702824	4.55916819560277	4.86505034034189	5.46354762257208	5.78228249593662	4.02338187531702	6.34814273493399	6.06449147998442	6.10439172237512	6.24187413731636	6.00728423285036	5.71251971969699
AAGAB	4.59683925880381	4.10031292122702	4.25746265320032	4.27748040761308	4.22696926855291	3.95462146971582	4.32232232288688	4.51843234001029	4.30464835194748	4.06212096428874	4.02816966883426	4.04317870230771	4.38458397439583	4.61093330447329	4.38469805798187	4.34567131650213	4.34272609511202	4.30336905461476	4.01037632246141	4.19821756107373	4.17652127715495	4.10515260603425	4.35625396170889	4.26368548930707	3.70710130616895	4.03630484896649
AAK1	4.14425730405208	4.6622469144776	3.93535700686505	4.22317311800497	4.56304711785485	4.4442634707307	4.50637227198583	4.08506958285397	4.33756311258216	4.54502772200265	4.30804789605253	4.09008169888886	3.78246108116034	4.10643045488582	4.32746116363357	4.0051856681988	4.24671944014705	3.68812072829074	3.93841774722802	3.7626870430993	3.60741954152718	4.23306499519325	4.39699665486262	4.65107152833886	4.5253492206293	4.3395537128783
AAMDC	5.19081241214758	4.58874368746775	3.93459537472253	4.43917258584831	3.6366059185349	4.51601022480635	4.03630484896649	3.95721223555799	4.09178458623447	4.15091907647032	4.26172528510628	3.77894788548803	4.94074390984054	4.07587471964349	4.43917258584831	3.71325799711749	4.37791418174486	4.4248757320265	3.90945369886653	4.80810243805498	5.07559789015193	4.15973107990808	5.21523130784767	3.85183199291981	5.01329603498639	4.97741137204754
