id	OP_meta_p	OP_dir_consistent	OP_mean_logFC	OP_meta_FDR
ZNF225	0.00942673461725089	TRUE	0.0969130797421927	0.179044797026814
OGFOD1	0.0396028833290583	FALSE	0.0771005784319874	0.315649780659111
HMGN5	0.0120029188394824	TRUE	0.0951332924762065	0.193780590549037
COPE	0.0352838880912191	TRUE	-0.219216581609465	0.301495107058277
TFF3	0.119702530230351	FALSE	-0.0690943570217725	0.467715680498553
MED25	0.0497607396758139	TRUE	-0.0924288365847055	0.341172813634031
LGALS8	0.0733499040992495	FALSE	0.0848978371534893	0.392411769896611
LIMD1	0.0793036537841796	TRUE	-0.110042135816309	0.402254990178429
EFHD2	0.0868951864903089	FALSE	-0.056232756966277	0.417501915090514
OXSM	0.00585693383045698	FALSE	0.0315243779029508	0.146928700671574
CASC1	0.119714306090051	TRUE	-0.0443931643639486	0.467715680498553
HDAC5	0.0112665376151256	FALSE	-0.0251964229208985	0.191127881827236
PLP1	0.0419855909279998	FALSE	-0.0482749858520808	0.318900165581219
ZKSCAN5	0.00599085221593307	TRUE	0.0797296107373562	0.14825975358844
TBCA	0.00118142305928544	FALSE	-0.0895952322530285	0.0794464460801913
ZDHHC18	0.100862067903354	FALSE	-0.0629695654417322	0.437276577293118
KBTBD4	0.08044449271713	FALSE	0.0777662638686694	0.404446980436354
ZSCAN12	0.110243172252137	FALSE	0.0575317819176137	0.453970160025283
TRIM68	0.139339227867036	TRUE	0.107938091867156	0.494097450017809
CCDC25	0.0359199188984205	FALSE	0.0946491818321505	0.303884161821354
TMED1	0.0110900981223304	FALSE	-0.0372562365162904	0.190469082960513
ATOX1	0.0740058472999072	FALSE	-0.0385759742042167	0.393340817704379
RBMS1	0.116514924775681	FALSE	0.0936942454654507	0.464703841013346
CIDEA	0.00625821596879492	TRUE	-0.111771690853144	0.151057846479984
STXBP2	0.0167176494188594	FALSE	0.046199727765895	0.221613581108449
EEF1A1	0.0400303716895495	TRUE	-0.143612690080292	0.315649780659111
POU2F2	0.0514653585994137	FALSE	-0.0649342941763969	0.345919206377447
ZCCHC2	0.0460577671378356	TRUE	0.129556960865651	0.334028893265042
POGLUT1	1.92074359714797e-07	FALSE	-0.012022215037936	0.000856572447883932
ING1	0.0230604623956405	TRUE	-0.0809552902074114	0.257077699632435
NEDD9	0.106880258816652	FALSE	0.0639501844418564	0.447696806325089
ACR	0.00253007176691247	TRUE	-0.127063441405187	0.107016286573487
PVRL3	0.0932827558886361	TRUE	0.0890573035664793	0.426569235707425
TNIP1	0.00130551266557725	FALSE	0.0436503559060915	0.0804522180161982
ELAVL2	0.0895953362478646	FALSE	-0.0469446699167479	0.42079241165159
GDF11	0.0815192396693305	FALSE	-0.0642181880875782	0.405350005941942
PPIF	0.00524114885821237	FALSE	-0.0485577421362715	0.14042612035311
NME3	0.0405609831580619	TRUE	-0.168274600701995	0.316359868821128
GABRA4	0.127254771279199	FALSE	-0.0588839623540156	0.477954320979065
CST2	0.143508762373584	FALSE	-0.0776801748847362	0.498085661632712
RNMTL1	0.0147081375539705	FALSE	-0.0459166348207188	0.211108318638572
GJB1	0.0174548148703071	FALSE	-0.0439198262627822	0.225857924140972
MAZ	0.0042882854508239	FALSE	0.0251899432911955	0.127960180860243
FPGS	0.161116599438084	TRUE	-0.102734237069076	0.517262277639015
MAPK8IP1	0.0691545956470049	FALSE	-0.069141317112945	0.386081406090799
HABP2	0.0846477834990582	FALSE	-0.0489675081257682	0.413537792803025
TNPO1	0.117836317962536	TRUE	0.10566504997163	0.465176008090599
