id	PD_meta_logFC	PD_meta_p	PD_I2	PD_meta_FDR
AC018766.6	-0.0416520897803469	0.0788703436486359	0	0.0926825453378361
AC018816.3	-0.136332121081069	0.000162931580827604	0	0.000311379203579943
AC024560.2	0.00314666555355529	0.927256977602605	0	0.934928397619665
AC025442.3	-0.0410163525816755	0.142944030482034	0	0.159025564534907
AC068039.4	-0.213628783890381	6.88604328086347e-08	0	1.9633822740584e-07
AC069277.2	-0.0814310388338432	0.000154048836181081	0	0.000295404939208819
AC073283.7	0.0570797070437909	0.0273088214545882	0	0.0354884944795091
AC074212.6	0.00215815272777232	0.935505062534201	40.3759720007258	0.942401832612644
AC078842.4	0.05321889769101	0.0256581662488639	25.6937317421613	0.0335529866331298
AC079305.10	-0.369913130704575	8.429267324118e-30	0	1.36393018549432e-28
AC079767.4	0.13462524967876	7.54347405480889e-08	0	2.14105168144553e-07
AC079807.4	0.0206224889086791	0.269413314127263	0	0.285276972344337
AC083949.1	-0.178645397292026	9.89353847902159e-06	0	2.21924827193275e-05
AC084219.3	0.107469609190755	2.36963589431266e-07	0	6.37356436410937e-07
AC087501.1	0.0248570741470575	0.144397248506182	0	0.16055314827432
AC090627.1	-0.0617445717361254	0.00122508795479643	0	0.00205481887346056
AC091133.1	-0.239617624797603	1.20437069874805e-12	0	5.37836947098754e-12
AC091633.3	0.0107803680034022	0.33468133547067	0	0.350133243308652
AC092192.1	0.105851095179066	0.00445241682270141	0	0.00676279934577392
AC092620.2	-0.17803936764167	3.98351692484419e-07	0	1.04388631081526e-06
AC092667.2	-0.0544647759050236	0.00045510408213763	0	0.000816218785872173
AC099684.1	0.00407450130107364	0.881307566150497	13.8761794182558	0.892740905911295
AC099850.1	-0.120548525748113	1.87042994866139e-09	0	6.24758240444547e-09
AC100830.4	0.176035739130356	7.29329339441969e-09	0	2.29259555516117e-08
AC104537.2	-0.0443720875985702	0.00580144585747562	0	0.00863015908711651
AC104667.3	-0.0331798502988898	0.149790827006095	0	0.16600781239379
AC106801.1	0.0925654157076019	0.0309860760136684	0	0.0398528132528906
AC108056.1	0.0455269362366963	0.0294502370422278	0	0.0380429653749669
AC114752.3	0.0174385542065247	0.423857116244226	65.913550710228	0.440209063493816
AC128677.4	2.03790652015001	1.18784984409039e-80	0	4.28504952757166e-77
AC136289.1	-0.0395216177724687	0.0409558813387137	0	0.0511898850881006
AC139100.2	-0.166339215593292	1.69749920558616e-13	0	8.19753498558434e-13
AC139100.3	0.128975205033571	8.8659946528004e-09	0	2.76479850540389e-08
AC141928.1	-0.125952782214651	2.85096758312784e-05	57.9048586923969	6.04406467993381e-05
AC144652.1	0.00676526744755883	0.784809036709463	47.3781378488455	0.801018594110943
